дата,tвнеш,Q_√кал,tподающ,tвнутр
2023-01-01 21,-17,0.5,27.0,17.8
2023-01-01 22,-17,0.5,27.0,17.0
2023-01-01 23,-15,0.5,27.0,16.3
2023-01-02 00,-15,0.5,27.0,15.6
2023-01-02 01,-15,1.1,38.0,15.0
2023-01-02 02,-15,3.38,75.0,14.5
2023-01-02 03,-14,3.23,73.0,14.5
2023-01-02 04,-13,5.06,100.0,14.5
2023-01-02 05,-13,5.62,107.0,14.9
2023-01-02 06,-14,5.82,110.0,15.4
2023-01-02 07,-14,5.82,107.0,15.9
2023-01-02 08,-14,3.49,76.0,16.4
2023-01-02 09,-13,3.38,74.0,16.4
2023-01-02 10,-12,3.35,74.0,16.4
2023-01-02 11,-11,3.23,72.0,16.4
2023-01-02 12,-11,3.24,72.0,16.4
2023-01-02 13,-9,3.06,70.0,16.4
2023-01-02 14,-8,3.02,69.0,16.4
2023-01-02 15,-7,2.93,68.0,16.5
2023-01-02 16,-6,2.84,67.0,16.6
2023-01-02 17,-5,2.79,66.0,16.7
2023-01-02 18,-5,2.83,66.0,16.8
2023-01-02 19,-4,0.5,27.0,16.9
2023-01-02 20,-4,0.5,27.0,16.5
